,statement,source,veracity
832,"""We have got 20 million folks out there across this land who have told the federal government, ‘Phooey, nonsense, I’m not going to participate in your program, because it doesn’t do what I need done.’ """,Tom Price,0
833,"""Malia Obama arrested with a gang of thugs in Chicago.""",Bloggers,0
834,"""Nobody dies because they don’t have access to health care.""",Raul Labrador,0
836,"Says John Quincy Adams said, ""If your actions inspire others to dream more, learn more, do more, and become more, you are a leader.""",Ivanka Trump,0
837,"""Bill O’Reilly in critical condition after being attacked by ‘tolerant’ liberals.""",Bloggers,0
838,"Under the House Republican health plan, sexual assault is a pre-existing condition.",Bloggers,0
839,Says police officers smoke marijuana once a year as part of their jobs.,Alex Jones,0
840,"""When I became mayor of Los Angeles, we had a 44 percent (high school) graduation rate. I said that was unacceptable. I challenged that notion. I said the mayor needs to be involved with our schools. We need to partner together. As I left, after a number of reforms, we grew our graduation rate from 44 percent to 72.""",Antonio  Villaraigosa,1
841,"Says Tammy Baldwin was told by a whistleblower about ""overmedicated veterans,"" she made ""deadly mistakes"" and ""three veterans died"" at the Tomah VA hospital.",Americas PAC,0
842,"""Dems want billions to go to Insurance Companies to bail out donors""",Donald Trump,0
843,"Easing school lunch regulations ""is not reducing the nutritional standards whatsoever.""",Sonny Perdue,0
846,"Says the Republican plan to replace Obamacare, ""absolutely does not eliminate protections for pre-existing conditions.""",Robert Pittenger,0
847,"""40 percent of American households have female primary breadwinners.""",Ivanka Trump,1
848,"""President Trump last month proposed a $6 billion cut in funding to the National Institutes of Health. And thank God our congressmen made a deal last night to not go along with that. They actually increased funding by $2 billion.""",Jimmy Kimmel,1
849,"""Larry Krasner is the only candidate running for District Attorney who explicitly pledges to never seek the death penalty.""",Larry Krasner,0
850,"Wisconsin politicians get daily expense payments ""even if they don’t spend a dime on meals, or lodging or travel,"" and ""no receipts are required for them to get paid.""",Wisconsin Freedom Alliance,1
851,"""In my 30 year career including dozens of capital cases, not a single client of mine has ever been sentenced to death.""",Tariq El-Shabazz,1
852,"""General Flynn got his clearance from the Obama administration.""",Donald Trump,1
853,"""Lindsey Graham threatens to convert to Democrat if Republicans don’t Dump Trump.""",Bloggers,0
854,"Regarding the surgery that saved Jimmy Kimmel's son, ""Medicaid has stopped providing this kind of service.""",Margaret Hoover,0
855,"Poor people pay ""in some cases, up to 25 percent of (their) income for water.""",Matt Damon,1
856,"""China account(s) for 90 percent of North Korean trade.""",Rex Tillerson,1
857,"""Ted Nugent killed in hunting accident.""",Bloggers,0
858,"""Sarah Palin in a coma after hit and run.""",Bloggers,0
859,"""President Trump has passed more legislation in his first 100 days than any president since Harry Truman.""",Tom  McClintock,1
860,"Says of the GOP health care proposal, ""pre-existing conditions are in the bill.""",Donald Trump,0
861,"""For the first time in the modern political era, we have confirmed a new justice in the first 100 days.""",Donald Trump,1
862,"The estimated price of President Trump’s border wall is the same as the cost of ""one and a half aircraft carriers.""",Scott Peters,1
863,"""The ‘tax plan’ rolled out by @realDonaldTrump would have cut his taxes by $30 million in 2005 (the only year we have returns for).""",Nancy  Pelosi,1
864,"""Before NAFTA, trade between the US and Mexico was around $50 billion. Now it stands at more than $500 billion.""",Jeff Flake,1
865,"""There's no real evidence in the last 20 years that"" growth from tax cuts has made up lost revenue.",Rana Foroohar,1
866,"""Trump warns Russia over Jehovah’s Witnesses ban and urges members to seek asylum in the U.S.""",Bloggers,0
867,"In Congress, ""on the Democratic side of the room, you’ve got men and women of all different races; on the other side, you’ve got a bunch of white men in dark suits, all over 55 or so.""",Mark Pocan,1
868,"""Donald Trump to issue an executive order to ban Facebook across U.S.""",Bloggers,0
869,"""The U.S. recorded its slowest economic growth in five years (2016). GDP up only 1.6%. Trade deficits hurt the economy very badly.""",Donald Trump,0
870,"Says President Donald Trump ""has given more financial disclosure than anybody else.""",Steve Mnuchin,0
873,Says Texas House rules authorized by the Texas Constitution supersede the state law permitting anyone to record a public government meeting.,Charlie Geren,1
874,"In the federal government, ""there’s $16 billion in duplicate programs"" that can be cut.",Jon  Ossoff,1
875,"Trump has ""worked with Congress to pass more legislation in his first 100 days than any president since Truman.""",Sean Spicer,1
876,"Says Bernie Sanders ""is the most popular politician in America today.""",Mike Crute,1
877,"""Trump wants to deport American Indians to India.""",Bloggers,0
880,"""Trump's Cabinet is more white and more male than any first Cabinet since President Ronald Reagan’s.""",Center for American Progress,1
881,"""The single-largest expense in  over half of American households is child care.""",Ivanka Trump,0
883,"""We're experiencing a net outflow of illegal, undocumented workers from America back to Mexico.""",Ron Kind,1
884,"Says Eric Trump said, ""My father’s tax return is irrelevant because we’re going to cancel taxes for WEALTHY people anyway.""",DemocraticMoms.com,0
885,"""Back when they did NATO, there was no such thing as terrorism.""",Donald Trump,0
886,"Illegal immigration on the U.S.-Mexico border is ""the lowest in 17 years.""",Donald Trump,1
887,"""More than 260,000 Americans are employed by the domestic solar industry — three times as many workers as employed by the entire coal mining industry.""",Brad Schneider,1
888,"""After prohibition ended, police deaths didn't reach 200 a year again until the year Nixon declared war on drugs.""",Viral image,0
889,"""Nobody applies to the United States for refugee status. They apply to the United Nations.""",Claire McCaskill,0
890,"""The pace of missile development between (Kim Jong Il and Kim Jong Un) has increased the testing about twenty-fold.""",Richard Burr,1
891,"""No administration has accomplished more in the first 90 days.""",Donald Trump,0
893,"""Missouri is actually the only state that has been forced to borrow money from the federal government to pay for unemployment benefits during each of the last five economic downturns.""",Allen Andrews,1
894,"The conservative proposal to replace the Affordable Care Act ""lowers premiums by giving New York the freedom to end Obamacare’s costly and ridiculous rules.""",Club for Growth,0
895,"""Hate speech is not protected by the first amendment.""",Howard Dean,0
896,"""Fox News Sandra Smith: ‘Everybody could see from the United Airlines passenger’s behavior that he was not a genuine American.’ """,Bloggers,0
897,"""Trump looking to open up E Coast & new areas for offshore oil drilling when Congress has passed no new safety standards since BP""",Edward  Markey,1
898,"""Trump on revamping the military: We’re bringing back the draft.""",RealNewsRightNow.com,0
899,"Says President Donald Trump as a candidate mentioned WikiLeaks ""over 160 times in speeches"" in the last month of the campaign.",Jackie Speier,1
900,"""The Wawa Welcome America festival (features) . . . America's largest free concert.""",Wawa  Welcome America,0
902,"""Our families have the highest property taxes in the country. We must change this.""",Bruce Rauner,1
903,Images show the turnout for President Donald Trump's 2017 ceremony with the New England Patriots was smaller than the team’s turnout with President Barack Obama in 2015.,New York Times,0
904,"""All pipelines that are coming into this country from now on has to be American steel.""",Donald Trump,0
905,"Says the T.R.U.M.P. Act, which would force presidential candidates to release their tax returns to run in North Carolina, ""has a lot of support – by a majority of North Carolinians and members of both parties.""",Jay Chaudhuri,1
906,"""I have not called for impeachment"" of President Donald Trump.",Maxine Waters,0
908,"""We’ve lost 70,000 factories since China joined the World Trade Organization.""",Donald Trump,1
909,"""Malia Obama expelled from Harvard.""",Bloggers,0
910,"Says the University of South Florida invests in oil companies like BP, tobacco companies, weapons manufacturers and private prisons.",USF Divest,1
913,"""The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!""",Donald Trump,0
914,"""When Trump won, we had the lowest voter turnout in 20 years.""",Bernie Sanders,0
915,"""United Airlines flight attendant slaps crying baby during flight.""",Now8News.com,0
